Station ID,City,State,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
3928,WICHITA,KS,22.5,26.3,35.7,44.8,55.9,65.9,70.4,68.8,60.1,47.2,34.7,25.4,46.5
3889,JACKSON,KY,27.4,30.5,37.6,47.3,55.6,62.9,66.5,65.3,59.1,48.5,38.8,31.8,47.6
93820,LEXINGTON,KY,25.4,28.3,35.8,45.2,55,62.8,66.5,65.2,58.1,47,36.4,29.6,46.3
93821,LOUISVILLE,KY,27.8,30.7,38.6,48.5,58.7,67.2,70.8,69.5,61.9,50.1,39.4,32.1,49.6
3816,PADUCAH,KY,27.3,30.5,38.3,47.6,57.7,66,69.4,66.8,58.9,47.6,37.5,30.7,48.2
13970,BATON ROUGE,LA,41.6,45.3,51,56.9,65.1,71.5,73.8,73.3,68.9,58.1,47.8,43.3,58
3937,LAKE CHARLES,LA,43.4,47.1,53.1,59.3,67.3,73.7,75.6,75.1,70.7,60.4,50.6,45.3,60.1
12916,NEW ORLEANS,LA,46.1,49.7,55.3,61.7,69,74.7,76.5,76.6,73.5,64.3,53.7,48.4,62.5
13957,SHREVEPORT,LA,37.3,41,47.7,54.3,63.5,70.6,73.5,73,67,55.4,45.3,39,55.6
14607,CARIBOU,ME,2.6,4.4,15.6,29.4,41.4,50.6,56.3,54.1,45.9,35.9,25.6,12.3,31.2
14764,PORTLAND,ME,15.6,17.3,26,35.4,45.5,55,61.2,59.7,52.1,41,31.7,22.4,38.6
93721,BALTIMORE,MD,25.4,26.9,33.9,43.6,53.3,62.6,67.7,65.8,58.8,46.5,36.5,29.6,45.9
14739,BOSTON,MA,23.1,24.6,31.1,40.8,50.3,59.7,66,65.1,58.2,47.5,37.9,29.2,44.5
94746,WORCESTER,MA,17.1,18.9,26,36.5,46.8,55.9,61.7,60.5,53.2,42.2,32.5,23.4,39.6
94849,ALPENA,MI,11.9,11.2,19.1,30.2,40.9,50.4,55.9,54.5,47,37.2,28.6,19.6,33.9
94847,DETROIT,MI,19.2,20.8,28.6,39.1,50.2,60.2,64.4,63.2,55.5,44,33.9,25.3,42
14826,FLINT,MI,16,16.7,25.1,35.3,46,55.9,59.7,58.3,50.4,40.3,31,22.5,38.1
94860,GRAND RAPIDS,MI,18.6,19.5,26.9,37.3,48.6,58.3,62.5,61.2,53.1,42.2,32.8,24.7,40.5
94814,HOUGHTON LAKE,MI,11.4,11,19.1,30.7,42.3,51.1,55,53.3,46.1,36.8,27.9,19,33.6
14836,LANSING,MI,17.2,18.3,26,36.4,47.5,57.1,60.9,59.5,51.5,41.2,31.9,23.3,39.2
14840,MUSKEGON,MI,20.7,20.8,27.1,36.9,47.5,57.2,62.2,61.3,53.5,43.2,34.1,26.3,40.9
14847,SAULT STE. MARIE,MI,8.4,9.3,17.9,30.2,41,49.7,55.2,55.4,48.7,38.5,28.3,17.1,33.3
14913,DULUTH,MN,2.4,6,17.8,29.9,41,50.2,56.2,55.2,47.3,35.6,22.5,9.6,31.1
14918,INTERNATIONAL FALLS,MN,-5.8,-2.6,11.8,26.1,38.1,48.2,52,49.7,42,31.1,18.1,2.7,26
14922,MINNEAPOLIS-ST.PAUL,MN,8.8,12.7,24.9,37.5,49.9,60.4,65.3,62.8,54.2,40.9,27.7,15.2,38.4
14925,ROCHESTER,MN,7,10.7,23.4,35.1,47.1,57.5,60.8,58.3,50.4,38,25.6,13.6,35.6
14926,SAINT CLOUD,MN,2.9,6.5,19.8,32.4,44.6,54.8,58.9,56.3,48,35.5,22.6,9.8,32.7
3940,JACKSON,MS,36.6,39.8,46.4,53.3,62.1,69.4,72.2,71.5,66,54.2,43.6,38.7,54.5
13865,MERIDIAN,MS,36.4,39.7,45.9,52.6,61.3,68.9,72,71.3,65.6,53.7,42.9,38.6,54.1
93862,TUPELO,MS,33.6,36.8,43.7,51.6,60.9,68.8,72.4,71.2,64.3,52.3,41.8,36.3,52.8
3945,COLUMBIA,MO,22.5,26.4,35.6,45.6,55.7,64.7,68.5,66.7,58.3,46.8,36,26.7,46.1
3947,KANSAS CITY,MO,19.5,23.6,33.6,43.7,54.3,64,68.1,66.3,57.5,45.6,33.6,23.9,44.5
13994,ST. LOUIS,MO,23.8,27.6,36.7,47,57.9,67.2,71.1,69.3,60.9,49.1,37.4,28.5,48
13995,SPRINGFIELD,MO,24.2,28,36.2,45.6,55.6,64.6,68.8,67.3,59.1,47.3,36.2,27.8,46.7
24033,BILLINGS,MT,17.9,19.7,26.9,34.7,43.8,52.4,59.3,57.5,48.6,37.1,26.7,19.2,37
94008,GLASGOW,MT,5.8,9.4,21.4,32.8,43.3,52.7,58.5,57.2,46.9,33.8,20.5,9.7,32.7
24143,GREAT FALLS,MT,15,15.4,22.1,29.9,38.4,45.9,51.4,50.3,42.8,32.6,23.6,16.3,32
94012,HAVRE,MT,7.2,10.1,20.1,30.6,40.2,48.5,53.9,52.2,42.5,30.7,19.7,10.5,30.5
24144,HELENA,MT,13.5,17.2,24.6,32.4,41.5,48.7,55.1,52.9,44.6,33.5,22.8,14.2,33.4
244558,KALISPELL,MT,16.3,18.1,24,30.5,38.1,44,47.6,45.7,38.3,29.1,23.5,17.2,31
24153,MISSOULA,MT,18,20.9,26.8,32.3,39.8,46.3,51.5,50.1,42.4,32.4,24.6,17.8,33.6
14935,GRAND ISLAND,NE,15.6,19.1,28.8,38.6,50.5,61.1,65.8,63.5,53.9,40.6,28.1,18.9,40.4
14939,LINCOLN,NE,14.4,18.4,28.7,39.2,51.2,62.1,66.7,64.1,54.3,41,28,18.2,40.5
14941,NORFOLK,NE,11.8,15.6,26,36.5,48,58.6,63.2,60.8,51.3,38.1,25.2,15.6,37.6
24023,NORTH PLATTE,NE,11.9,14.8,23.9,33.2,44.2,55.4,61.4,58.8,48.3,34.3,21.4,13.1,35.1
14942,OMAHA,NE,15.2,19.3,30,41.1,52.7,63.4,68,65.6,56.1,43.2,30.2,19.8,42.1
24028,SCOTTSBLUFF,NE,14.9,17,25,32.6,43.5,53.6,59.8,57.3,47.1,33.6,22.7,14.4,35.1
24032,VALENTINE,NE,11.2,14.2,23.5,33.1,44.2,54.9,61,58.7,48.6,34.2,21.8,13.1,34.9
24121,ELKO,NV,16,20.5,26.8,31.5,38.5,44.9,52,49.2,40.5,29.4,21.9,15.4,32.2
23154,ELY,NV,12.4,16.2,22.9,27.5,34,41.4,49.1,47.6,38.8,28.3,19.2,11.7,29.1
23169,LAS VEGAS,NV,40.5,44.1,50.5,56.9,66.1,75.8,82,80.6,72.4,59.6,47.3,39.6,59.6
23185,RENO,NV,26.1,29,34,38.5,46.6,53.8,60.4,58.1,50.3,39.7,31,25.7,41.1
24128,WINNEMUCCA,NV,20.5,23.9,27.5,31.6,39.1,46.1,53.5,50,41,30.1,23.4,18.5,33.8
14745,CONCORD,NH,12.9,14.7,23.3,33.3,44.1,53.7,59.2,57.2,49,37.8,28.7,19.5,36.1
14755,MT. WASHINGTON,NH,-3.2,-3,4.9,16.7,30.2,39.6,44.5,43.2,37.1,24.9,13.1,3.5,21
93730,ATLANTIC CITY,NJ,25.1,26.2,32.6,41.7,51.4,61.3,67.2,65.2,58.2,46.4,36.6,29.4,45.1
14734,NEWARK,NJ,25.5,27.2,34.2,44.1,53.9,63.6,69.4,68,60.7,49,39,31.2,47.1
23050,ALBUQUERQUE,NM,26.4,29.8,36.2,43.2,52.4,61.9,66.5,64.9,58.1,46.1,34.1,26.6,45.5
23051,CLAYTON,NM,21.4,23,29.8,36.8,46.6,56.1,60.8,59.7,52.5,40.3,29.7,22,39.9
23009,ROSWELL,NM,28.1,32.5,39.4,47,56.7,65.7,69.9,68.6,61.2,48.8,36.3,28.3,48.5
14735,ALBANY,NY,15.9,17.6,26.1,36.9,48.1,57.4,62.4,60.7,52.6,41.1,31.6,22.7,39.4
4725,BINGHAMTON,NY,15.5,16.9,24,35,46.1,54.9,59.4,58,50.6,40.5,30.7,21.9,37.8
14733,BUFFALO,NY,19,19.5,26.4,36.5,48.3,58.1,63.1,61.7,54.5,43.9,34.2,25.6,40.9
4781,ISLIP,NY,24.6,25.5,32,41.2,50.8,60.9,67.3,66,58.9,47.3,37.6,29.8,45.2
14768,ROCHESTER,NY,19,19.6,26.8,37.1,48.2,57.4,62.2,61,53.6,43.3,34,25.4,40.6
14771,SYRACUSE,NY,16.5,17.5,25.2,36.2,47.3,56.7,62,60.4,52.7,42.4,32.7,23.7,39.4
3812,ASHEVILLE,NC,28.6,31.2,37,44.6,53.2,61.1,64.9,64,57.9,46.2,36.1,31.3,46.3
93729,CAPE HATTERAS,NC,40.6,41.5,46.2,54.1,62.7,70.9,75.3,74.4,70.8,61.3,51.5,44.9,57.8
13881,CHARLOTTE,NC,31.8,34.9,41.2,49.1,58,66.2,69.9,68.7,62.6,50.4,39.8,34.5,50.6
13723,GREENSBORO-WNSTN-SALM-HGHPT,NC,30.1,32.7,39.3,47.9,57.1,65.4,69.3,68,61.5,49.4,38.9,33,49.4
13722,RALEIGH,NC,31.8,34.2,40.3,48.9,57.7,66,70.2,68.9,62.7,50.3,40,34.4,50.4
13748,WILMINGTON,NC,36.3,38.4,44.1,52.6,61.1,69.3,73,71.7,66.7,55.6,44.8,39.1,54.4
24011,BISMARCK,ND,2.4,7.2,19.1,30.4,42.4,52.9,57.9,55.7,45.9,32.6,19.1,8.1,31.1
14914,FARGO,ND,0.2,4.1,18.1,31.9,44.4,55.6,59.4,56.8,48.1,35.2,20.9,7.5,31.9
14916,GRAND FORKS,ND,-3.1,0.7,15,29.3,41.4,52.9,57,54.3,45.3,32.5,17.8,4.2,28.9
94014,WILLISTON,ND,1,5.5,17.5,29.2,40.2,50.2,56.3,54,43.5,30.4,17.1,6.1,29.3
14895,AKRON,OH,20.3,21.9,29.4,39.8,50.4,59.4,63.4,61.9,54.9,44,34.2,26.1,42.1
93814,CINCINNATI,OH,23.1,25.8,33.8,43.7,53.7,62.1,65.9,64.6,57.3,45.7,35.1,27.9,44.9
14820,CLEVELAND,OH,22.3,23.7,30.7,40.8,51.4,61.1,65.3,63.9,57.1,46.5,36.7,28.2,44
14821,COLUMBUS,OH,22,24.2,32,42.2,52.4,61.6,65.4,63.9,56.5,44.8,35,27.4,43.9
93815,DAYTON,OH,21.8,24.5,32.7,42.9,53.8,62.7,66.1,64.3,56.8,45.9,35.4,27.1,44.5
14891,MANSFIELD,OH,19.1,21.2,28.7,38.9,49.6,58.6,62.3,60.8,53.7,43.1,33.4,25,41.2
94830,TOLEDO,OH,20.3,22.1,29.9,40.3,50.9,60.5,64.2,62.8,55.1,44.3,34.5,26.1,42.6
14852,YOUNGSTOWN,OH,19.3,20.7,27.8,37.9,47.6,56.2,60.3,58.8,52.1,42.2,33.4,25.5,40.1
13967,OKLAHOMA CITY,OK,27,30.8,39.5,47.5,57.6,66.2,70.3,69.1,61.5,49.4,37.7,29.5,48.8
13968,TULSA,OK,28,31.7,40.7,49.5,59.5,68.7,73.1,71.5,62.8,50.9,39.4,31.1,50.6
94224,ASTORIA,OR,38.1,37.4,39,41.5,46.3,50.6,53.9,53.9,50.5,44.9,40.2,37.6,44.5
94185,BURNS,OR,16.3,20.2,26.3,29.8,37.4,42.6,48.6,45.8,37.4,28,22.1,15.5,30.8
24221,EUGENE,OR,34.7,35,37.2,40,44,47.6,51.7,51.5,47.8,41.8,37.7,34.3,41.9
24225,MEDFORD,OR,32.5,33.9,37.2,41,46.9,52.3,58.6,57.9,51.2,42.1,36.4,32.6,43.6
24155,PENDLETON,OR,28,29.6,33.7,38.3,45,50.7,56.7,56,49,39.4,32.3,27.5,40.5
24229,PORTLAND,OR,36.2,36.8,39.7,43.7,49.4,54.1,58.5,58.9,54.1,46.7,40.6,36.2,46.2
24232,SALEM,OR,35.8,35.9,38.3,41,46.3,50.8,55.1,54.8,50.6,43.9,39,35.1,43.9
24235,SEXTON SUMMIT,OR,33.3,32.7,33.1,35.1,41.1,45.6,53.1,53.9,50.7,43.4,36.3,32.3,40.9
14737,ALLENTOWN,PA,21.8,23.2,30.5,40.3,50.6,59.9,64.7,62.8,55.2,43.8,34.1,26.8,42.8
14860,ERIE,PA,21.3,21.4,27.9,38,49.3,59.4,64.2,63.2,56.7,46.3,36.7,28,42.7
