Station ID,City,State,Start Date,End Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
23065,GOODLAND,KS,1895,2023,-26,-24,-20,0,21,31,40,38,19,0,-12,-27,-27
13996,TOPEKA,KS,1946,2023,-20,-23,-7,10,26,42,43,41,29,19,2,-26,-26
3928,WICHITA,KS,1953,2023,-12,-21,-2,15,31,43,51,48,31,18,1,-16,-21
3889,JACKSON,KY,1981,2023,-18,-8,7,20,30,44,52,45,34,26,13,-13,-18
93820,LEXINGTON,KY,1872,2023,-21,-20,-2,15,26,39,47,42,32,20,-3,-19,-21
93821,LOUISVILLE,KY,1948,2023,-22,-19,-1,22,31,42,50,46,33,23,-1,-15,-22
3816,PADUCAH,KY,1949,2023,-15,-14,-6,21,34,44,48,44,34,22,-3,-10,-15
13970,BATON ROUGE,LA,1930,2023,9,13,20,31,40,53,58,58,43,30,21,8,8
3937,LAKE CHARLES,LA,1961,2023,15,16,23,34,42,56,61,59,47,30,23,11,11
12916,NEW ORLEANS,LA,1948,2023,14,16,25,32,41,50,60,60,42,35,24,11,11
13957,SHREVEPORT,LA,1939,2023,3,1,15,31,39,52,58,53,42,28,16,5,1
14607,CARIBOU,ME,1939,2023,-37,-41,-28,-4,18,30,36,34,23,14,-8,-31,-41
14764,PORTLAND,ME,1940,2023,-26,-39,-21,8,23,33,40,33,23,15,3,-21,-39
93721,BALTIMORE,MD,1939,2023,-7,-3,4,20,32,40,50,45,35,25,13,0,-7
14753,BLUE HILL,MA,1998,2023,-11,-14,2,19,31,41,50,50,33,24,9,-3,-14
14739,BOSTON,MA,1936,2023,-12,-14,1,16,34,41,50,46,37,25,12,-11,-14
94746,WORCESTER,MA,1948,2023,-19,-16,-6,11,28,36,43,38,30,20,6,-13,-19
94849,ALPENA,MI,1916,2023,-28,-37,-27,-7,20,27,34,29,23,12,-6,-27,-37
94847,DETROIT,MI,1959,2023,-21,-15,-4,10,25,36,41,38,29,17,7,-10,-21
14826,FLINT,MI,1948,2023,-25,-25,-16,6,22,33,40,37,26,19,-7,-18,-25
94860,GRAND RAPIDS,MI,1963,2023,-22,-19,-8,3,22,33,41,39,27,18,5,-18,-22
94814,HOUGHTON LAKE,MI,1964,2023,-26,-34,-24,2,21,29,33,29,21,16,-5,-21,-34
14836,LANSING,MI,1948,2023,-29,-25,-15,-2,19,30,37,35,22,15,-5,-18,-29
14840,MUSKEGON,MI,1896,2023,-21,-30,-11,1,22,31,39,36,27,19,-14,-15,-30
